Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.8151E-05,0.14906,0.14691,0,0,0,5.1718,0.012199,-3.0277E-07,-0.00011127,0.072636,1.8521E-06,0.068154,0,0,0,0,0,0,package://prototype_urdf2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/base_link.STL,,prototype_base_urdf2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Left_Upper_Arm,6.6613E-16,0.0147,0.005,0,0,0,0.035646,3.835E-05,1.5009E-18,4.9911E-19,6.6493E-05,1.8691E-20,0.00010426,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Upper_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Upper_Arm.STL,,Upper_Arm-3,Origin_base_joint_FLUA3,FLUA,base_joint_FLUA,revolute,0.15448,-0.14429,0.12049,-0.1407,0,-1.5726,base_link,-1,0,0,0,0,0,0,,,,,,,,
Front_Left_Wheel_Connect_U,1.9429E-16,-0.011825,-0.0047437,0,0,0,4.2725E-05,4.0077E-08,-4.7098E-23,1.4089E-23,4.5681E-08,-1.4715E-09,2.8052E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_U.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_U.STL,,Wheel connect-1,Origin_FLUA_joint_FLWC3,FLWCU,FLUA_joint_FLWC,revolute,0,0.084743,-0.032957,0.1407,0,0,Front_Left_Upper_Arm,1,0,0,0,0,0,0,,,,,,,,
Front_Left_Wheel,1.4086E-06,-0.018579,-3.15E-05,0,0,0,0.0005833,8.6958E-07,1.2157E-11,-1.9549E-11,1.6137E-06,-2.7388E-10,8.6989E-07,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel.STL,,Wheel-1,Origin_FLWC_joint_FLWC3,FLW,FLWC_joint_FLW,continuous,0,0,0,0,0.87883,-3.1416,Front_Left_Wheel_Connect_U,0,1,0,3.1,7,,,,,0,0,,,,
Front_Left_Lower_Arm,-2.7756E-17,0.013612,0.0065523,0,0,0,0.037752,2.6733E-05,-1.1805E-19,-7.6023E-20,6.0063E-05,-2.223E-07,8.5645E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm.STL,,Lower_Arm-3,Origin_base_joint_FLLA3,FLLA,base_joint_FLLA,revolute,0.14944,-0.14428,0.047772,-0.21347,0,-1.5726,base_link,1,0,0,0,0,0,0,,,,,,,,
Front_Left_Wheel_Connect_L,1.66533453693773E-16,-0.01182470467978,-0.00474369285104252,0,0,0,4.27254738673187E-05,4.00769893258482E-08,-3.38045451895694E-23,1.64898971111911E-23,4.56805348900452E-08,-1.47149337236907E-09,2.805162477184E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_L.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_L.STL,,Wheel connect-1,Origin_FLLA_joint_FLWC3,FLWCL,FLLA_joint_FLWC,revolute,0,0.076435,0.045428,0.21347,0,0,Front_Left_Lower_Arm,-1,0,0,0,0,0,0,,,,,,,,
Front_Left_Suspension,-0.02505,0.0053253,0.057836,0,0,0,0.097501,7.9254E-06,2.402E-09,2.0772E-08,1.8592E-05,-7.2341E-07,1.2438E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Suspension.STL,,suspension-1,Origin_base_joint_FLS3,FLS,base_joint_FLS,prismatic,0.16284,-0.086237,0.1322,-1.4553,-1.1874,3.1397,base_link,0,-0.11521,-0.99334,1000,1000,-0.04,0,,,0,0,,,,
Front_Left_Lower_Arm_S,-2.77555756156289E-17,0.013612079592021,0.00655228418322651,0,0,0,0.0377520303994239,2.67333578708892E-05,-1.1777728433775E-19,-7.73430416349332E-20,6.00628817070965E-05,-2.22296810574117E-07,8.56446705491993E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm_S.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm_S.STL,,Lower_Arm-3,Origin_FLS_joint_FLLA3,FLLAS,FLS_joint_FLLA,fixed,-0.073326,0.050307,0.052619,0.97395,-1.4553,1.5708,Front_Left_Suspension,0,0,0,,,,,,,0,0,,,,
Back_Left_Upper_Arm,2.77555756156289E-17,-0.0147001536622141,-0.005,0,0,0,0.0356457256760713,3.83497573600796E-05,-8.08469759769435E-20,-2.31852808455335E-20,6.64927053825921E-05,-2.71050543121376E-20,0.000104259142609384,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Upper_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Upper_Arm.STL,,Upper_Arm-4,Origin_base_joint_BLUA3,BLUA,base_joint_BLUA,revolute,0.15447,0.135,0.12049,3.0009,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Back_Left_Wheel_Connect_U,-1.3878E-16,0.011825,0.0047439,0,0,0,4.2725E-05,4.0077E-08,-2.4975E-23,6.5432E-24,4.5681E-08,-1.4715E-09,2.8052E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_U.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_U.STL,,Wheel connect-4,Origin_BLUA_joint_BLWC3,BLWCU,BLUA_joint_BLWC,revolute,0,-0.084743,0.032957,0.1407,0,0,Back_Left_Upper_Arm,1,0,0,0,0,0,0,,,,,,,,
Back_Left_Wheel,1.40862745898196E-06,-0.0185785956024857,-3.13163303364006E-05,0,0,0,0.000583296678332389,8.6958020227038E-07,1.2156654097372E-11,-1.95489792553624E-11,1.61370446750533E-06,-2.73880661125538E-10,8.69890840625022E-07,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel.STL,,Wheel-4,Origin_BLWC_joint_BLW3,BLW,BLWC_joint_BLW,continuous,0,0,0,0,0,0,Back_Left_Wheel_Connect_U,0,1,0,3.1,7,,,,,,,,,,
Back_Left_Lower_Arm,2.77555756156289E-17,-0.0136120795920238,-0.00655228418322451,0,0,0,0.0377520303994239,2.67333578708892E-05,-1.0339645159441E-19,-5.57410387269857E-20,6.00628817070965E-05,-2.22296810574141E-07,8.56446705491993E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Lower_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Lower_Arm.STL,,Lower_Arm-4,Origin_base_joint_BLLA3,BLLA,base_joint_BLLA,revolute,0.14944,0.135,0.047772,2.9281,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Back_Left_Wheel_Connect_L,-1.38777878078145E-16,0.0118247046797822,0.00474387706085233,0,0,0,4.27254738673186E-05,4.0076989325848E-08,-2.49245205610583E-23,6.44597877411744E-24,4.56805348900451E-08,-1.47149337236906E-09,2.805162477184E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_L.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_L.STL,,Wheel connect-4,Origin_BLLA_joint_BLWC3,BLWCL,BLLA_joint_BLWC,revolute,0,-0.076435,-0.045428,0.21347,0,0,Back_Left_Lower_Arm,-1,0,0,0,0,0,0,,,,,,,,
Back_Left_Suspension,-0.0250501195396812,0.00532528573434377,0.0578364361373781,0,0,0,0.0975010516337178,7.92535130270424E-06,2.40205751875798E-09,2.07721001720025E-08,1.85918479783726E-05,-7.23412240509213E-07,1.24383810777078E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Suspension.STL,,suspension-2,Origin_base_joint_BLS3,BLS,base_joint_BLS,prismatic,0.16528,0.076934,0.13323,1.6863,-1.1874,-3.1416,base_link,0,-0.11521,-0.99334,1000,1000,-0.04,0,,,0,0,,,,
